Liberal Democrats,south-west,Jay Oliver Risbridger,JAY OLIVER RISBRIDGER,director,BATH GREEN PAPERS LIMITED,02378601,gb,https://opencorporates.com/companies/gb/02378601
Liberal Democrats,south-west,Jay Oliver Risbridger,JAY OLIVER RISBRIDGER,director,BATH OLIVER CURRENCY CIC,07950896,gb,https://opencorporates.com/companies/gb/07950896
Liberal Democrats,south-west,Andrew Paul Wigley,ANDREW PAUL WIGLEY,secretary,FABR LIMITED,07501060,gb,https://opencorporates.com/companies/gb/07501060
Liberal Democrats,south-west,Andrew Paul Wigley,ANDREW PAUL WIGLEY,director,FABR LIMITED,07501060,gb,https://opencorporates.com/companies/gb/07501060
Liberal Democrats,south-west,Andrew Paul Wigley,ANDREW PAUL WIGLEY,director,EVOLVED DESIGN (LIFESTYLE) LTD,08376037,gb,https://opencorporates.com/companies/gb/08376037
Liberal Democrats,south-west,Brian George Felton Mathew,"","","","","",""
Liberal Democrats,south-west,Kay Barnard,HELEN KAY BARNARD,director,VEGETARIAN SOCIETY OF THE UNITED KINGDOM LIMITED (THE),00959115,gb,https://opencorporates.com/companies/gb/00959115
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,secretary,BARNARD & GOODING (GOATS MILK) LIMITED,02482234,gb,https://opencorporates.com/companies/gb/02482234
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,director,TLC CARE AGENCY LIMITED,03970749,gb,https://opencorporates.com/companies/gb/03970749
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,director,GREEN BARNARD LTD,05963536,gb,https://opencorporates.com/companies/gb/05963536
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,secretary,SOMERSET WETLAND WILDLIFE FOUNDATION LTD,06837853,gb,https://opencorporates.com/companies/gb/06837853
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,director,J & K BARNARD (FARMS) LIMITED,03376264,gb,https://opencorporates.com/companies/gb/03376264
Liberal Democrats,south-west,Kay Barnard,KAY BARNARD,director,GRASSROOTS FOOD LTD.,03897642,gb,https://opencorporates.com/companies/gb/03897642
Liberal Democrats,south-west,Graham Robert Watson,GRAHAM ROBERT WATSON,director,FILLERS SANDWICH BARS LIMITED,SC318037,gb,https://opencorporates.com/companies/gb/SC318037
Liberal Democrats,south-west,Graham Robert Watson,GRAHAM ROBERT WATSON,director,BIO BULGARIA DEVELOPMENT COMPANY LTD,06113491,gb,https://opencorporates.com/companies/gb/06113491
Liberal Democrats,south-west,Graham Robert Watson,GRAHAM ROBERT WATSON,director,LONGFIELD GROVE MANAGEMENT COMPANY LIMITED,05814037,gb,https://opencorporates.com/companies/gb/05814037
Liberal Democrats,south-west,Graham Robert Watson,ROBERT GRAHAM WATSON,director,GRADECROSS COMPUTING LIMITED,02838470,gb,https://opencorporates.com/companies/gb/02838470
Liberal Democrats,south-west,Graham Robert Watson,ROBERT GRAHAM WATSON,director,CENTMAP LIMITED,01996241,gb,https://opencorporates.com/companies/gb/01996241
Liberal Democrats,south-west,Graham Robert Watson,ROBERT GRAHAM WATSON,director,INPHARMATION LIMITED,03567687,gb,https://opencorporates.com/companies/gb/03567687
Labour Party,south-west,Junab Ali,JUNAB ALI,director,STEPSIDE LTD,05159259,gb,https://opencorporates.com/companies/gb/05159259
Labour Party,south-west,Junab Ali,JUNAB ALI,director,BANGLADESH FEMALE ACADEMY LIMITED,05275955,gb,https://opencorporates.com/companies/gb/05275955
Labour Party,south-west,Junab Ali,JUNAB ALI,director,ANGLO ASIAN FINANCIAL SERVICES LTD.,02873551,gb,https://opencorporates.com/companies/gb/02873551
Labour Party,south-west,Junab Ali,JUNAB ALI,director,JAFLONG LECHLADE LIMITED,05665736,gb,https://opencorporates.com/companies/gb/05665736
Labour Party,south-west,Junab Ali,JUNAB ALI,director,RAHAN TAKEAWAY LTD,07867002,gb,https://opencorporates.com/companies/gb/07867002
